transaction_id,user_id,newid,diary_newid,survey_source,payee,amount,date,day_of_week,category,family_size,has_children
md_00116,moneydata_user,MONEYDATA,,moneydata,UBER   *TRIP,25.57,2022-06-16,Thursday,Travel,,
md_00117,moneydata_user,MONEYDATA,,moneydata,NON-GBP TRANS FEE,0.57,2022-06-16,Thursday,Other,,
md_00118,moneydata_user,MONEYDATA,,moneydata,UBER *TRIP HELP.UB,19.17,2022-06-16,Thursday,Travel,,
md_00119,moneydata_user,MONEYDATA,,moneydata,O2,18.01,2022-06-16,Thursday,Clothing,,
md_00120,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.51,2022-06-15,Wednesday,Savings,,
md_00121,moneydata_user,MONEYDATA,,moneydata,NON-GBP TRANS FEE,5.11,2022-06-14,Tuesday,Other,,
md_00122,moneydata_user,MONEYDATA,,moneydata,POSTE ITALIANE,171.0,2022-06-14,Tuesday,Other,,
md_00123,moneydata_user,MONEYDATA,,moneydata,HPI INSTANT INK UK,4.49,2022-06-14,Tuesday,Clothing,,
md_00124,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.51,2022-06-14,Tuesday,Savings,,
md_00125,moneydata_user,MONEYDATA,,moneydata,EAST MIDS RAILWAY,56.7,2022-06-13,Monday,Travel,,
md_00126,moneydata_user,MONEYDATA,,moneydata,WH SMITH,8.79,2022-06-13,Monday,Clothing,,
md_00127,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,4.3,2022-06-13,Monday,Savings,,
md_00128,moneydata_user,MONEYDATA,,moneydata,ASIANA HYPERMARKET,60.83,2022-06-13,Monday,Groceries,,
md_00129,moneydata_user,MONEYDATA,,moneydata,LIDL GB NOTTINGHAM,34.12,2022-06-13,Monday,Groceries,,
md_00130,moneydata_user,MONEYDATA,,moneydata,UBER* TRIP,7.01,2022-06-13,Monday,Travel,,
md_00131,moneydata_user,MONEYDATA,,moneydata,LNK NOTTINGHAM RAI,30.0,2022-06-13,Monday,Other,,
md_00132,moneydata_user,MONEYDATA,,moneydata,UBER   *TRIP,7.51,2022-06-13,Monday,Travel,,
md_00133,moneydata_user,MONEYDATA,,moneydata,AMZNMKTPLACE,5.55,2022-06-13,Monday,Household Supplies,,
md_00134,moneydata_user,MONEYDATA,,moneydata,MISS D WU,29.0,2022-06-13,Monday,Other,,
md_00135,moneydata_user,MONEYDATA,,moneydata,MISS D WU,16.0,2022-10-06,Thursday,Other,,
md_00136,moneydata_user,MONEYDATA,,moneydata,LIDL GB  NOTTINGHA,11.43,2022-10-06,Thursday,Groceries,,
md_00137,moneydata_user,MONEYDATA,,moneydata,CAFE TERRAZZO,2.25,2022-10-06,Thursday,Dining Out,,
md_00138,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.97,2022-09-06,Tuesday,Savings,,
md_00139,moneydata_user,MONEYDATA,,moneydata,SUBWAY 32610 MIDLA,13.78,2022-08-06,Saturday,Dining Out,,
md_00140,moneydata_user,MONEYDATA,,moneydata,CAFE TERRAZZO,2.25,2022-08-06,Saturday,Dining Out,,
md_00141,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,2.04,2022-07-06,Wednesday,Savings,,
md_00142,moneydata_user,MONEYDATA,,moneydata,CLUB LLOYDS FEE,3.0,2022-06-06,Monday,Utilities,,
md_00143,moneydata_user,MONEYDATA,,moneydata,PRIMARK,38.3,2022-06-06,Monday,Clothing,,
md_00144,moneydata_user,MONEYDATA,,moneydata,BLEND COFFEE HOUSE,18.45,2022-06-06,Monday,Dining Out,,
md_00145,moneydata_user,MONEYDATA,,moneydata,MURAT FOOD CENTRE,13.81,2022-06-06,Monday,Groceries,,
md_00146,moneydata_user,MONEYDATA,,moneydata,HEAVENLY DESSERTS,4.41,2022-06-06,Monday,Dining Out,,
md_00147,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,2.76,2022-06-06,Monday,Savings,,
md_00148,moneydata_user,MONEYDATA,,moneydata,WHITE ROSE TRADING,29.05,2022-06-06,Monday,Clothing,,
md_00149,moneydata_user,MONEYDATA,,moneydata,PIE MINISTER,23.0,2022-06-06,Monday,Dining Out,,
md_00150,moneydata_user,MONEYDATA,,moneydata,CINEWORLD NOT CP,19.98,2022-06-06,Monday,Entertainment,,
md_00151,moneydata_user,MONEYDATA,,moneydata,LIDL GB NOTTINGHAM,16.37,2022-06-06,Monday,Groceries,,
md_00152,moneydata_user,MONEYDATA,,moneydata,CLOUD9 PURSUITS LT,10.0,2022-06-06,Monday,Entertainment,,
md_00153,moneydata_user,MONEYDATA,,moneydata,DOMINO'S PIZZA,9.99,2022-06-06,Monday,Dining Out,,
md_00154,moneydata_user,MONEYDATA,,moneydata,DOMINO'S PIZZA,9.99,2022-06-06,Monday,Dining Out,,
md_00155,moneydata_user,MONEYDATA,,moneydata,DOMINO'S PIZZA,9.99,2022-06-06,Monday,Dining Out,,
md_00156,moneydata_user,MONEYDATA,,moneydata,AMAZON.CO.UK*2G6K0,6.98,2022-06-06,Monday,Household Supplies,,
md_00157,moneydata_user,MONEYDATA,,moneydata,DOMINO'S PIZZA,1.64,2022-06-06,Monday,Dining Out,,
md_00158,moneydata_user,MONEYDATA,,moneydata,LIDL GB  NOTTINGHA,9.0,2022-06-06,Monday,Groceries,,
md_00159,moneydata_user,MONEYDATA,,moneydata,CAFE TERRAZZO,4.25,2022-01-06,Thursday,Dining Out,,
md_00160,moneydata_user,MONEYDATA,,moneydata,BARCLAYS UK MTGES,981.71,2022-01-06,Thursday,Utilities,,
md_00161,moneydata_user,MONEYDATA,,moneydata,NOTTM CITY COUNC,112.0,2022-01-06,Thursday,Utilities,,
md_00162,moneydata_user,MONEYDATA,,moneydata,OCTOPUS ENERGY,100.0,2022-01-06,Thursday,Utilities,,
